0,0,-0.271,-0.1,0,0,1
0,0,-0.18206119,0,-0.0911791,0,1
0,0,-0.1,0,-0.19,0,1
0,0,-0.19,0,-0.1,0.0294529851,6
0,-0.1,0,0,-0.3439,0,1
0,-0.1,0,-0.1,-0.19,0,1
0,-0.1,-0.1,0,0,0,1
0,0,0,0,0,0,1
0,-1.98974446165631,-0.999915358502171,-0.999950020041947,-0.999979561462641,0,1
0,-0.39691,0,0,-0.1,0,1
0,-0.199,-0.1819,-0.271,-0.19,0.169578668706965,6
0,-0.376219,-0.1,-0.1,-0.1,0,1
0,0,-0.0109,0,0,0.19558341,6
0,-0.19,-0.271,0,-0.1009,0,1
0,0,-0.1,0,-0.1,0,1
0,-0.30691,0,-0.1,0,0,1
0,-0.1,0,0.069578668706965,0,0,4
0,-11.846031003028,-0.999959516233977,-0.999757250554968,-0.999963564610579,0,1
0,-2.09,-2.09,-2.1620267309,-3.78211405781,-7.17471400143009,1
0,-2.09,0,1.71,0,0,4
0,0,-1.361,-1.1,1.7129158455249,-1.9,5
0,-1.1,-1.181,-1.1,0,-6.12398705785133,1
0,0,0,0,-2.09,0,1
0,0,0,0,0.9,0,5
0,0,0,0,0,0,1
0,0,0,0,0,-1,1
0,-11.9782583594317,-10.9995051984153,-10.9999257329366,-10.9990689435239,-10,1
-0.19,-0.0793679149,-0.19,0,-0.1,-0.00205029,4
-0.19,0,-0.1,-0.0910329859,-0.1,0,2
0,0,0,0,-0.10205029,0.00685971,6
0,-0.184905361,-0.271,-0.1,0,0,1
0,0,-0.1,0,0,0,1
-0.1,-0.271,-0.1,-0.271,0,0,5
-0.1,-0.094905361,0,-0.19,-0.1,0,3
-0.271,0,-0.19,0,0,0,2
-0.999931440386758,-0.986737412384894,-1.98696508433506,-1.98709465678242,-1.98847999292779,-0.98998862240174,2
-0.19,0.050651,-0.36901,-0.271,-0.1,-0.1089,2
-0.19,-0.1,0,0,-0.49492,-0.1089,3
-0.0109,0.0905759,-0.2089,-0.545428,0,0,2
0,-0.19,0,0,-0.1,0,1
-0.1,-0.1009,0,-0.19,0,0,3
-0.1,-0.1,0,0,-0.0109,0.0891,6
-0.1,-0.1,0,0,0,0,3
0,0,0,0,0,0,1
-0.999999335126881,-0.999998986628382,-11.808980719382,-11.8226114546146,-11.6858619005817,-10.7812884692089,2
-3.7829,-2.09,-2.09,-5.154149,-4.2807341,-4.0951,2
0,0,-1.1,-2.981,0,0,1
0,-1.1,-1.1,0,-1.1,-2.71,1
0,0,-1.1,-1.1,0,-1,1
0,-2.088506709839,0,-1.1,0.9,-1,5
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
-10.9944171833534,-10.9905454509871,-11.9604944089548,-11.9557779762616,-11.9568832604705,-10.975133459774,6
-0.1,0,-0.19,-0.18314029,-0.23973784831,0.076110077142,6
0,0,-0.184905361,-0.09314029,-0.1,0.00685971,6
-0.18314029,0,-0.178731622,0,-0.1,0.0089670141,6
-0.19,0,0,0,-0.09314029,0,2
0,0,-0.32910148,0,0,0,1
0,0,0,-0.08324029,0,0,1
0,0,0,0,-0.24600068731,0,1
0,0,-0.0911791,0,-0.19,0,1
-1.98837302620162,0,-0.999915358502171,-0.99907605410644,-0.995196199961066,0,2
0,0,0,0.0184049,0.050651,0.378052269725524,6
-0.39691,0,0.131651,0.06929,0.050651,0.470874789,6
-0.199,0,0,0.0905759,-0.056539,0,4
-0.2765071,0,-0.0109,-0.1,0,0,2
-0.1,0,-0.1,-0.19,0.051461,0,5
-0.1,0,0,-0.19,-0.19,0,2
0,0,-0.056539,0,0,0,1
0,0,0,0,0,0,1
-11.8119105350592,0,-0.999870992992183,-0.997044666926393,-0.999803372949524,0,2
-5.154149,0,0.06947089520731,-4.5037367309,-6.26486069,-6.12522215814349,3
0,0,-1.1,0,0,-1,1
-1.1,0,-0.29,-1.178092013897,-2.979515530739,-2.7091122656041,2
-2.981,0,0,-2.09,-2.981,-1.9,2
0,0,-1.1,0,0,-1,1
-1.1,0,0,0,0,-1,2
-1.1,0,0,0,0,0,2
0,0,0,0,0,-1,1
-11.9750693288988,0,-10.9990689435239,-10.9993212598289,-10.9997078246122,-10,2
0,-0.1,-0.17324029,0,-0.17412238,0,1
0,-0.1,-0.0911791,-0.1,0,0,1
0,-0.0911791,-0.1,-0.174916261,-0.271,0,1
0,-0.19,-0.4030795639,-0.182855071,-0.25084336141,0.01675971,6
0,0,-0.1,0,-0.1,0,1
0,0,-0.1,0,0,0.038988378,6
0,0,-0.1,0,-0.1,0.014289858,6
0,0,-0.1,0,0,0,1
0,-1.96936476840429,-0.999947638707356,-0.994611618406787,-0.999938296348083,0,1
0,-0.19,0,0,-0.1009,0,1
0,0,0,0,-0.0109,0,1
0,-0.19,-0.02071,-0.1,-0.1,0,1
0,-0.1009,-0.19,-0.0109,-0.1009,0.2262249,6
0,0,-0.1,-0.19,0,0,1
0,-0.1819,-0.2789461,-0.1,-0.0109,0.16929,6
0,0,-0.10981,-0.1,-0.1,0.0649539,6
0,0,0,0,0,0,1
0,-11.8505491331116,-0.999950020041947,-0.999905953891302,-0.999959516233977,0,1
0,0,-1.1,-1.1,-1.1,-2.71,1
0,-2.981,0,1.71,0,-2.71,4
0,-1.1,0,-1.1,2.4419158455249,-3.439,5
0,0,0.9,-1.1,0,-3.439,3
0,0,-1.1,0,-2.981,-3.439,1
0,0,-2.981,-0.2891267309,0,-1,1
0,-2.09,-1.1,-1.09755484652,-2.09,-1.9,1
0,0,0,0,0,0,1
0,-11.9793743074456,-10.999874228076,-10.9978238663365,-10.9995992107164,-9.28210201230815,1
-0.31920148,-0.19,-0.271,-0.19,-0.1,0,6
-0.1,-0.1,0,0,-0.1,0,3
-0.1,-0.1,-0.1,-0.1,-0.1,0,6
0,-0.1,-0.19,-0.1,0,0,1
-0.1,-0.17412238,0,-0.271,-0.1,0,3
-0.1,-0.084916261,-0.1,-0.17324029,-0.3350791,0,6
